timestamp;importance_type;scenario;age;anosmia;cough;diarrhea;fever;minor_severity_factor;risk_factor;sore_throat_aches
2020-04-28 02:13:24,968;SHAP_IMPORTANCE;B;0.06205;0.03451;0.06728;0.06073;0.08002;0.06474;0.11567;0.02734
2020-04-28 02:23:45,225;SHAPLEY_EFFECT;A;0.14063;0.04345;0.09167;0.20883;0.23981;0.04812;0.18315;0.04435
2020-04-28 02:25:30,764;SHAP_IMPORTANCE;A;0.10581;0.05612;0.10302;0.10239;0.17343;0.03480;0.14492;0.04325
2020-04-28 02:25:51,968;SHAPLEY_EFFECT;A;0.13960;0.03944;0.09457;0.20459;0.24037;0.05305;0.18265;0.04573
2020-04-28 02:36:39,084;SHAP_IMPORTANCE;B;0.05565;0.04036;0.07067;0.06264;0.08935;0.05651;0.11284;0.03329
2020-04-28 02:39:06,418;SHAPLEY_EFFECT;B;0.12462;0.03348;0.11161;0.13175;0.18104;0.13202;0.24987;0.03562
2020-04-28 02:41:18,930;SHAPLEY_EFFECT;B;0.12132;0.03901;0.12582;0.12465;0.17976;0.12223;0.25784;0.02936
2020-04-28 02:49:32,727;SHAP_IMPORTANCE;A;0.10496;0.06667;0.10658;0.11731;0.16718;0.03424;0.16524;0.05172
2020-04-28 02:55:21,450;SHAPLEY_EFFECT;A;0.14424;0.03545;0.09367;0.21045;0.24997;0.04449;0.18234;0.03938
2020-04-28 02:57:42,083;SHAPLEY_EFFECT;A;0.14277;0.03941;0.08887;0.21935;0.24076;0.04583;0.18566;0.03735
2020-04-28 02:59:51,066;SHAP_IMPORTANCE;B;0.06637;0.03772;0.07299;0.06375;0.08830;0.06590;0.12167;0.03185
2020-04-28 03:10:46,282;SHAPLEY_EFFECT;B;0.12077;0.02392;0.11091;0.12780;0.19208;0.12655;0.27123;0.02673
2020-04-28 03:12:14,163;SHAP_IMPORTANCE;A;0.10467;0.06128;0.10297;0.13930;0.16663;0.03646;0.15713;0.04621
2020-04-28 03:13:09,766;SHAPLEY_EFFECT;B;0.12205;0.02360;0.13475;0.12381;0.18306;0.12257;0.25936;0.03079
2020-04-28 03:23:30,410;SHAP_IMPORTANCE;B;0.05720;0.03805;0.06910;0.06566;0.08646;0.05504;0.11212;0.02847
2020-04-28 03:27:04,548;SHAPLEY_EFFECT;A;0.13712;0.04019;0.08793;0.21013;0.25773;0.04469;0.18529;0.03692
2020-04-28 03:29:34,341;SHAPLEY_EFFECT;A;0.14375;0.03854;0.08448;0.20951;0.24766;0.04405;0.19015;0.04187
2020-04-28 03:35:59,378;SHAP_IMPORTANCE;A;0.09646;0.05520;0.09582;0.10173;0.19057;0.04165;0.14328;0.04302
2020-04-28 03:42:29,888;SHAPLEY_EFFECT;B;0.11077;0.02246;0.11207;0.13687;0.19174;0.12482;0.26831;0.03296
2020-04-28 03:45:04,523;SHAPLEY_EFFECT;B;0.11797;0.02835;0.12639;0.12627;0.18083;0.11967;0.27817;0.02236
2020-04-28 03:46:29,983;SHAP_IMPORTANCE;B;0.05557;0.03864;0.07366;0.05851;0.08893;0.05672;0.11419;0.03132
2020-04-28 03:58:40,372;SHAP_IMPORTANCE;A;0.11309;0.05485;0.10073;0.12807;0.18034;0.03727;0.16154;0.05389
2020-04-28 03:58:48,222;SHAPLEY_EFFECT;A;0.14255;0.04125;0.08792;0.21120;0.24789;0.04837;0.18189;0.03892
2020-04-28 04:01:29,457;SHAPLEY_EFFECT;A;0.13886;0.03975;0.09635;0.20556;0.25012;0.04875;0.18517;0.03545
2020-04-28 04:10:16,427;SHAP_IMPORTANCE;B;0.06557;0.04233;0.07404;0.06671;0.09135;0.06607;0.12289;0.03072
2020-04-28 04:14:15,771;SHAPLEY_EFFECT;B;0.12758;0.04107;0.12295;0.12865;0.17272;0.11459;0.25185;0.04059
2020-04-28 04:17:00,818;SHAPLEY_EFFECT;B;0.11875;0.03678;0.12047;0.11920;0.18190;0.12189;0.25197;0.04904
2020-04-28 04:22:43,866;SHAP_IMPORTANCE;A;0.10523;0.05936;0.10490;0.10337;0.18762;0.03837;0.15683;0.05134
2020-04-28 04:30:39,511;SHAPLEY_EFFECT;A;0.14374;0.04254;0.09110;0.20857;0.24835;0.04545;0.18226;0.03799
2020-04-28 04:33:15,200;SHAP_IMPORTANCE;B;0.05635;0.04129;0.06801;0.06270;0.08157;0.05936;0.11411;0.03448
2020-04-28 04:33:33,137;SHAPLEY_EFFECT;A;0.14572;0.03744;0.08731;0.21238;0.25252;0.04640;0.17845;0.03977
2020-04-28 04:45:47,244;SHAP_IMPORTANCE;A;0.10196;0.05900;0.10332;0.11274;0.17414;0.04089;0.14798;0.04009
2020-04-28 04:46:10,606;SHAPLEY_EFFECT;B;0.12676;0.04300;0.12420;0.12219;0.16922;0.12660;0.25655;0.03148
2020-04-28 04:49:07,045;SHAPLEY_EFFECT;B;0.12014;0.03950;0.12606;0.11930;0.17544;0.12170;0.26323;0.03464
2020-04-28 04:57:16,805;SHAP_IMPORTANCE;B;0.06252;0.03586;0.07567;0.06203;0.09026;0.06547;0.12917;0.03077
2020-04-28 05:02:32,228;SHAPLEY_EFFECT;A;0.14076;0.04134;0.09250;0.20718;0.24325;0.04964;0.18581;0.03952
2020-04-28 05:05:34,656;SHAPLEY_EFFECT;A;0.13880;0.04275;0.09462;0.20995;0.24333;0.04736;0.17811;0.04508
2020-04-28 05:09:29,149;SHAP_IMPORTANCE;A;0.10086;0.06006;0.11303;0.11183;0.17668;0.04231;0.15291;0.04556
2020-04-28 05:18:05,233;SHAPLEY_EFFECT;B;0.12132;0.02532;0.13555;0.12227;0.17182;0.12991;0.26236;0.03146
2020-04-28 05:20:16,266;SHAP_IMPORTANCE;B;0.06149;0.03722;0.07258;0.06314;0.08702;0.05574;0.11240;0.03006
2020-04-28 05:21:09,684;SHAPLEY_EFFECT;B;0.11950;0.03179;0.11770;0.12931;0.18634;0.11330;0.27371;0.02834
2020-04-28 05:32:58,047;SHAP_IMPORTANCE;A;0.10026;0.05875;0.11389;0.10409;0.17467;0.03520;0.14868;0.04285
2020-04-28 05:34:30,014;SHAPLEY_EFFECT;A;0.13891;0.04122;0.08942;0.20694;0.24060;0.05210;0.18728;0.04353
2020-04-28 05:37:39,048;SHAPLEY_EFFECT;A;0.14350;0.04306;0.08634;0.20887;0.24733;0.04972;0.18278;0.03840
2020-04-28 05:44:11,141;SHAP_IMPORTANCE;B;0.06021;0.03566;0.07075;0.06217;0.09043;0.05874;0.12069;0.02988
